decade,word,n,log_odds_weighted
1910,car,30,23.29856085256102
1910,story,15,22.693854210130354
1910,found,10,20.095925505759734
1910,death,11,18.981360902612842
1910,mummy,36,17.093933210363982
1910,dead,6,16.171847155469827
1910,died,13,16.093475292908625
1910,people,7,15.90585789344839
1910,tale,11,15.575119792398004
1910,life,6,15.167083872682793
1920,rumor,11,33.61299645901272
1920,diet,8,17.472772578935313
1920,tapeworm,11,16.273911531731304
1920,tapeworms,9,14.719098410593816
1920,pills,7,12.979959181256447
1920,calvin,6,12.016613989803727
1930,police,12,17.321534663926542
1930,alligators,22,16.129186454861465
1930,children,6,15.57956049410124
1930,time,15,14.004056996117823
1940,head,13,14.51438496809092
1940,woman,9,14.151267734583008
1940,victims,7,14.069623824164418
1940,cat,6,13.908216764022683
1940,black,6,13.564216335239191
1940,legends,8,12.632627393321155
1940,door,7,12.102514078206942
1950,sewers,13,9.733573505197878
1950,ashley,12,9.621580795138108
1950,h0tnspicy91,12,9.351551242225469
1950,griffin's,11,8.95327194452031
1950,spongebob,9,8.332249879065971
1950,parents,16,8.27833083446642
1950,86,9,8.171873874623659
1950,sewer,13,8.05621247394769
1950,dont,8,7.9448187481576795
1960,lenses,27,13.067409703376187
1960,hiv,8,11.583816068480047
1960,lsd,36,10.560775251543085
1960,diane's,14,9.826492801410943
1960,linkletter,14,9.826492801410943
1960,manbeef,14,9.826492801410943
1960,yoder,14,9.407606788973956
1960,hospital,12,9.198158330012326
1960,jacksonville,11,8.338542416112093
1960,durston,10,8.304550752005877
1970,snuff,39,11.027908868985875
1970,helltown,17,9.45022550127776
1970,lutzes,10,7.247530473064441
1970,amityville,17,6.9663598491439425
1970,annabelle,10,6.655688387495811
1970,colon,10,6.655688387495811
1970,mccurdy,10,6.655688387495811
1980,kidney,28,8.69318263159354
1980,tanning,19,7.160266564145364
1980,lightning,17,7.071718228009908
1980,nasa,13,6.902965173424041
1980,aids,49,6.816062070124425
1980,shuttle,12,6.632103265931666
1980,lighters,15,6.361755235538384
1980,shannon,15,6.361755235538384
1990,webkinz,61,13.108986192982533
1990,perfume,49,9.332528524675853
1990,schap,18,7.9744478307994
1990,dwarf,17,7.749742549237766
1990,eyed,21,7.689404256100958
1990,witch,16,7.518327708144383
1990,hippo,12,6.510969592978057
1990,cats,60,6.419394437426062
2000,smarties,42,10.393995556646697
2000,oleander,21,8.37253049734769
2000,straws,18,6.803363773318733
2000,cell,43,6.244146725690383
2000,hoy,14,5.999840698499859
2010,dracula,15,7.776098141454964
2010,snorting,23,7.303083633360427
2010,ashes,21,7.217160614659915
2010,maggots,21,6.970739270416705
2020,home,7,22.038938366707924
2020,child,7,20.666782848793623
2020,information,7,16.851665674853457
2020,department,7,16.654795715145685
2020,fire,25,15.77338517472176
2020,air,20,15.187692600650337
2020,video,8,14.741758138959831
2020,fryer,15,13.705013242437952
