id,rating
1,false
2,false
3,true
4,false
5,legend
6,false
7,true
8,false
9,false
10,false
11,mostly false
12,false
13,false
14,false
15,true
16,false
17,false
19,false
20,false
21,legend
22,legend
23,legend
24,legend
25,true
26,true
27,true
28,true
29,false
30,true
31,unproven
32,true
33,true
34,mixture
35,false
36,mostly false
37,false
38,true
39,true
40,unproven
41,false
42,mostly false
43,mixture
44,false
45,undetermined
46,mostly false
47,false
48,false
49,mixture
50,false
51,probably false
52,true
53,false
54,false
55,true
56,false
57,false
58,false
59,true
60,legend
61,legend
62,legend
63,false
64,true
65,false
66,true
67,true
68,false
69,mixture
70,false
71,miscaptioned
72,legend
73,false
74,partly true
75,false
76,true
77,false
78,true
79,true
80,legend
81,false
82,true
83,true
84,legend
85,true
86,partly true
87,false
88,mixture
89,legend
90,false
91,false
92,false
93,true
94,false
95,false
96,false
97,mixture
98,true
99,true
100,false
101,mixture
102,mixture
103,false
104,false
105,mixture
106,legend
107,legend
108,true
109,true
110,legend
111,mostly false
112,true
113,undetermined
114,true
115,true
116,false
117,undetermined
118,false
119,false
120,legend
121,false
122,true
123,false
124,false
125,true
126,true
127,legend
128,legend
129,false
130,false
131,legend
132,false
133,false
134,true
135,false
136,false
137,false
138,true
139,false
140,legend
141,unproven
142,legend
143,false
144,true
145,false
146,legend
147,legend
148,legend
149,false
150,false
151,legend
152,false
153,false
154,undetermined
155,false
156,false
157,legend
158,legend
159,legend
160,legend
161,false
162,false
163,false
164,legend
165,false
166,legend
167,false
168,true
169,false
170,true
171,false
172,legend
173,false
174,legend
175,legend
176,legend
177,was true; now outdated
178,false
179,legend
180,legend
181,legend
182,false
183,true
184,false
185,false
186,false
187,false
188,false
189,legend
190,legend
191,false
192,false
193,false
194,false
195,legend
196,mixture
197,false
198,false
199,undetermined
200,false
201,legend
202,false
203,false
204,legend
205,false
206,false
207,legend
208,legend
209,legend
210,false
211,false
212,true
213,legend
214,true
215,false
216,false
217,false
218,true
219,true
220,legend
221,false
222,legend
223,legend
224,false
225,false
226,legend
227,legend
228,legend
229,false
230,false
231,undetermined
232,true
233,legend
234,legend
235,false
236,false
237,legend
238,false
239,true
240,true
241,false
242,false
243,legend
244,true
245,false
246,legend
247,false
248,false
249,legend
250,false
251,true
252,legend
253,legend
